,notebook_id,total_execution_time,name,tdp_watts,total_co2_emissions
718,7250eb93b3,5218.872515936297,Intel Xeon Gold 6148,150,0.1978822495625846
719,728f206c2a,862.0840981725281,AMD EPYC 7763,280,0.06101639672621116
720,73231e53ee,1889.384473973118,A100 PCIe 40/80GB,250,0.1193986021746901
721,735143e9ff,496.60685341299904,A100 SXM4 80 GB,400,0.05021247073398102
722,73f104c9fb,330.4297233472198,AGX Xavier,30,0.0025057587353830837
723,74071a6733,1005.7789576616672,AMD RX480,150,0.03813578547800488
724,74306eef58,1150.8158390585759,GTX 1080 Ti,250,0.07272516760717389
725,743394beff,4451.3300803892325,GTX 1080,180,0.20253551865771008
726,7437d13677,3938.8852835349885,GTX 750,250,0.24891566722339162
727,743c41a921,765.0722418314318,GTX TITAN X,250,0.048348315282402986
728,7493454825,6226.036516382952,Quadro K6000,225,0.35410582686928044
729,74d90aafda,2764.72575561037,Quadro P6000,250,0.1747153081670442
730,74db120f0a,1443.383482291212,RTX 2080 Ti,250,0.09121381728368076
731,752d2c9ecf,1794.5553943492837,RTX 2080,215,0.09752910080678816
732,75429d136f,252.55930534617409,RTX 8000,260,0.01659875879025133
733,75455e0629,3112.175578710163,T4,70,0.05506821787884372
734,7553e94d39,7353.098670101039,Tesla K40c,245,0.455381485694174
735,75806e8a1c,4561.792175063599,Tesla K80,300,0.34593590660898954
736,758874998f,831.2695555435948,Tesla M40 24GB,250,0.05253161774615773
737,758be1f9f7,1617.3456959542477,Tesla P100,250,0.10220726273044205
738,7647966b73,483.53482222401044,Tesla P40,250,0.03055671445998955
739,765d5fb115,1558.9326464070757,Tesla V100-PCIE-16GB,300,0.11821905901920325
740,766d856ef1,1617.8594436642027,Tesla V100-SXM2-16GB,250,0.10223972873155725
741,769675d7c1,1146.4329458455582,Tesla V100-SXM2-32GB,300,0.0869378317266215
742,769ac34a40,636.7103274183132,Titan RTX,280,0.04506494206282951
743,77143919d1,2535.109795175001,Titan V,250,0.16020485511175356
744,7716d0fc31,1181.4934380561986,TITAN X Pascal,250,0.0746638214327181
745,779efbd24d,485.48076264912345,Titan Xp,250,0.030679687084076555
746,77c493ec14,740.9940071975949,TPUv2 Chip,221,0.04139480688541898
747,77edbe5f89,2249.9154152974743,TPUv3 Chip,283,0.1609501991393218
748,77f959f119,85.03967165627957,RTX 3080,320,0.006878764551752391
749,7876acb666,8280.781585137318,RTX 3080 TI,350,0.7326191485739545
750,78d69f4090,9.333370350274457,RTX 3090,350,0.0008257440157117818
751,794288f252,161.8389467871319,RTX A4000,140,0.005727300505744613
752,79514e888b,1148.1033892233247,RTX A5000,230,0.06674945537901163
753,798ed7d4ee,384.20806175241216,RTX A6000,300,0.029135778016224592
754,799de6d3da,208.49964721974598,Intel Xeon E5-2699,145,0.007642091236290411
755,7a006957be,568.4838217498321,Intel Xeon E5-2630v4,85,0.012214506558985976
756,7a430339c1,569.7513102534775,Intel Xeon E5-2650,105,0.015122149359644383
